model,condition,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,per_trial_correct
gpt-oss-20b,full,0.8839,0.0158,0.871,0.9032,"[28, 27, 28, 27, 27]"
gpt-oss-20b,no_cpg,0.6258,0.0329,0.5806,0.6774,"[19, 19, 21, 18, 20]"
gpt-oss-20b,no_simplify,0.5742,0.0376,0.5161,0.6129,"[17, 19, 16, 19, 18]"
gpt-oss-20b,no_cpg_no_simplify,0.6774,0.0353,0.6129,0.7097,"[19, 22, 21, 21, 22]"
gpt-oss-120b,full,0.8968,0.0129,0.871,0.9032,"[28, 28, 28, 27, 28]"
gpt-oss-120b,no_cpg,0.6774,0.0289,0.6452,0.7097,"[22, 22, 21, 20, 20]"
gpt-oss-120b,no_simplify,0.8194,0.0158,0.8065,0.8387,"[25, 25, 25, 26, 26]"
gpt-oss-120b,no_cpg_no_simplify,0.729,0.0483,0.6774,0.8065,"[25, 23, 23, 21, 21]"
qwen3-32b,full,0.871,0.0456,0.8065,0.9355,"[28, 26, 29, 25, 27]"
qwen3-32b,no_cpg,0.5097,0.0241,0.4839,0.5484,"[15, 15, 16, 16, 17]"
qwen3-32b,no_simplify,0.8323,0.0474,0.7419,0.871,"[27, 23, 27, 26, 26]"
qwen3-32b,no_cpg_no_simplify,0.5742,0.0555,0.5161,0.6774,"[17, 17, 18, 16, 21]"
llama-3.3-70b,full,0.8903,0.0158,0.871,0.9032,"[28, 27, 27, 28, 28]"
llama-3.3-70b,no_cpg,0.5742,0.0129,0.5484,0.5806,"[18, 17, 18, 18, 18]"
llama-3.3-70b,no_simplify,0.9677,0.0,0.9677,0.9677,"[30, 30, 30, 30, 30]"
llama-3.3-70b,no_cpg_no_simplify,0.5806,0.0,0.5806,0.5806,"[18, 18, 18, 18, 18]"
