model,TP,FP,TN,FN,sensitivity,specificity,PPV,NPV,F1
gpt-oss-120b,13,2,14,2,0.8666666666666667,0.875,0.8666666666666667,0.875,0.8666666666666667
llama-3.3-70b,14,3,13,1,0.9333333333333333,0.8125,0.8235294117647058,0.9285714285714286,0.875
qwen3-32b,14,2,14,1,0.9333333333333333,0.875,0.875,0.9333333333333333,0.9032258064516129
gpt-oss-20b,15,2,14,0,1.0,0.875,0.8823529411764706,1.0,0.9375
medgemma-4b,15,16,0,0,1.0,0.0,0.4838709677419355,0.0,0.6521739130434783
medgemma-1.5-4b,15,16,0,0,1.0,0.0,0.4838709677419355,0.0,0.6521739130434783
gemma-3-4b,15,16,0,0,1.0,0.0,0.4838709677419355,0.0,0.6521739130434783
phi-3-mini,14,13,3,1,0.9333333333333333,0.1875,0.5185185185185185,0.75,0.6666666666666666
qwen-2.5-3b,15,12,4,0,1.0,0.25,0.5555555555555556,1.0,0.7142857142857143
llama-3.2-3b,13,15,1,2,0.8666666666666667,0.0625,0.4642857142857143,0.3333333333333333,0.6046511627906976
qwen-2.5-1.5b,7,7,9,8,0.4666666666666667,0.5625,0.5,0.5294117647058824,0.4827586206896552
llama-3.2-1b,14,12,4,1,0.9333333333333333,0.25,0.5384615384615384,0.8,0.6829268292682927
