model_1,model_2,b_m1_only,c_m2_only,n_discordant,p_value,significant
gpt-oss-120b,llama-3.3-70b,2,2,4,1.0,ns
gpt-oss-120b,qwen3-32b,1,2,3,1.0,ns
gpt-oss-120b,gpt-oss-20b,0,2,2,0.5,ns
gpt-oss-120b,medgemma-4b,14,2,16,0.004180908203125,*
gpt-oss-120b,medgemma-1.5-4b,14,2,16,0.004180908203125,*
gpt-oss-120b,gemma-3-4b,14,2,16,0.004180908203125,*
gpt-oss-120b,phi-3-mini,12,2,14,0.012939453125,*
llama-3.3-70b,qwen3-32b,1,2,3,1.0,ns
llama-3.3-70b,gpt-oss-20b,0,2,2,0.5,ns
llama-3.3-70b,medgemma-4b,13,1,14,0.0018310546875,*
llama-3.3-70b,medgemma-1.5-4b,13,1,14,0.0018310546875,*
llama-3.3-70b,gemma-3-4b,13,1,14,0.0018310546875,*
llama-3.3-70b,phi-3-mini,11,1,12,0.00634765625,*
qwen3-32b,gpt-oss-20b,0,1,1,1.0,ns
qwen3-32b,medgemma-4b,14,1,15,0.0009765625,***
qwen3-32b,medgemma-1.5-4b,14,1,15,0.0009765625,***
qwen3-32b,gemma-3-4b,14,1,15,0.0009765625,***
qwen3-32b,phi-3-mini,12,1,13,0.00341796875,*
gpt-oss-20b,medgemma-4b,14,0,14,0.0001220703125,***
gpt-oss-20b,medgemma-1.5-4b,14,0,14,0.0001220703125,***
gpt-oss-20b,gemma-3-4b,14,0,14,0.0001220703125,***
gpt-oss-20b,phi-3-mini,12,0,12,0.00048828125,***
medgemma-4b,medgemma-1.5-4b,0,0,0,1.0,ns
medgemma-4b,gemma-3-4b,0,0,0,1.0,ns
medgemma-4b,phi-3-mini,1,3,4,0.625,ns
medgemma-1.5-4b,gemma-3-4b,0,0,0,1.0,ns
medgemma-1.5-4b,phi-3-mini,1,3,4,0.625,ns
gemma-3-4b,phi-3-mini,1,3,4,0.625,ns
