model,prompt_mode,label,correct,total,accuracy,ci_low,ci_high
gpt-oss-120b,standard,Standard (direct comparison),27,31,0.8709677419354839,0.7114759374369357,0.9486571562537085
gpt-oss-120b,cot,Chain-of-thought,16,31,0.5161290322580645,0.34840395448028794,0.6802974843758269
gpt-oss-120b,structured,Structured checklist,15,31,0.4838709677419355,0.31970251562417307,0.651596045519712
gpt-oss-120b,minimal,Minimal instruction,15,31,0.4838709677419355,0.31970251562417307,0.651596045519712
gpt-oss-120b,few-shot,Few-shot (2 exemplars),28,31,0.9032258064516129,0.7510006155660716,0.9665353558368026
gpt-oss-20b,standard,Standard (direct comparison),27,31,0.8709677419354839,0.7114759374369357,0.9486571562537085
gpt-oss-20b,cot,Chain-of-thought,19,31,0.6129032258064516,0.4382410861966073,0.7626689857961975
gpt-oss-20b,structured,Structured checklist,17,31,0.5483870967741935,0.37772167637354503,0.7083826401947998
gpt-oss-20b,minimal,Minimal instruction,15,31,0.4838709677419355,0.31970251562417307,0.651596045519712
gpt-oss-20b,few-shot,Few-shot (2 exemplars),29,31,0.9354838709677419,0.7928136326370187,0.9821252164780855
llama-3.3-70b,standard,Standard (direct comparison),28,31,0.9032258064516129,0.7510006155660716,0.9665353558368026
llama-3.3-70b,cot,Chain-of-thought,28,31,0.9032258064516129,0.7510006155660716,0.9665353558368026
llama-3.3-70b,structured,Structured checklist,15,31,0.4838709677419355,0.31970251562417307,0.651596045519712
llama-3.3-70b,minimal,Minimal instruction,27,31,0.8709677419354839,0.7114759374369357,0.9486571562537085
llama-3.3-70b,few-shot,Few-shot (2 exemplars),27,31,0.8709677419354839,0.7114759374369357,0.9486571562537085
