model,prompt_mode,TP,FP,TN,FN,sensitivity,specificity,F1
gpt-oss-120b,standard,13,2,14,2,0.8666666666666667,0.875,0.8666666666666667
gpt-oss-120b,cot,15,15,1,0,1.0,0.0625,0.6666666666666666
gpt-oss-120b,structured,15,16,0,0,1.0,0.0,0.6521739130434783
gpt-oss-120b,minimal,15,16,0,0,1.0,0.0,0.6521739130434783
gpt-oss-120b,few-shot,14,2,14,1,0.9333333333333333,0.875,0.9032258064516129
gpt-oss-20b,standard,14,3,13,1,0.9333333333333333,0.8125,0.875
gpt-oss-20b,cot,13,10,6,2,0.8666666666666667,0.375,0.6842105263157895
gpt-oss-20b,structured,14,13,3,1,0.9333333333333333,0.1875,0.6666666666666666
gpt-oss-20b,minimal,15,16,0,0,1.0,0.0,0.6521739130434783
gpt-oss-20b,few-shot,15,2,14,0,1.0,0.875,0.9375
llama-3.3-70b,standard,14,2,14,1,0.9333333333333333,0.875,0.9032258064516129
llama-3.3-70b,cot,14,2,14,1,0.9333333333333333,0.875,0.9032258064516129
llama-3.3-70b,structured,14,15,1,1,0.9333333333333333,0.0625,0.6363636363636364
llama-3.3-70b,minimal,13,2,14,2,0.8666666666666667,0.875,0.8666666666666667
llama-3.3-70b,few-shot,13,2,14,2,0.8666666666666667,0.875,0.8666666666666667
