model,n_trials,temperature,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,per_trial_correct,per_trial_accuracy
gpt-oss-20b,5,0.1,0.79514,0.0408290092948629,0.7317,0.8293,"[34, 32, 34, 30, 33]","[0.8293, 0.7805, 0.8293, 0.7317, 0.8049]"
gpt-oss-120b,5,0.1,0.85854,0.02036671303868151,0.8293,0.878,"[35, 36, 35, 34, 36]","[0.8537, 0.878, 0.8537, 0.8293, 0.878]"
qwen3-32b,5,0.1,0.90728,0.020414504647431424,0.878,0.9268,"[37, 36, 38, 38, 37]","[0.9024, 0.878, 0.9268, 0.9268, 0.9024]"
llama-3.3-70b,5,0.1,0.83418,0.010912011730198963,0.8293,0.8537,"[34, 34, 34, 35, 34]","[0.8293, 0.8293, 0.8293, 0.8537, 0.8293]"
gemma-4-26b-a4b,5,0.1,0.8049,0.0,0.8049,0.8049,"[33, 33, 33, 33, 33]","[0.8049, 0.8049, 0.8049, 0.8049, 0.8049]"
gemma-4-31b,5,0.1,0.8293,0.0,0.8293,0.8293,"[34, 34, 34, 34, 34]","[0.8293, 0.8293, 0.8293, 0.8293, 0.8293]"
gpt-5.4-mini,5,0.1,0.8097799999999999,0.03181370773738895,0.7805,0.8537,"[32, 32, 35, 33, 34]","[0.7805, 0.7805, 0.8537, 0.8049, 0.8293]"
qwen3.5-35b-a3b,5,0.1,0.85366,0.03445378063435126,0.8293,0.9024,"[34, 34, 37, 36, 34]","[0.8293, 0.8293, 0.9024, 0.878, 0.8293]"
gemma-3-4b,5,0.1,0.4878,0.0,0.4878,0.4878,"[20, 20, 20, 20, 20]","[0.4878, 0.4878, 0.4878, 0.4878, 0.4878]"
phi-3-mini,5,0.1,0.50732,0.026728860806252103,0.4634,0.5366,"[21, 19, 22, 21, 21]","[0.5122, 0.4634, 0.5366, 0.5122, 0.5122]"
medgemma-4b,5,0.1,0.3902,0.0,0.3902,0.3902,"[16, 16, 16, 16, 16]","[0.3902, 0.3902, 0.3902, 0.3902, 0.3902]"
medgemma-1.5-4b,5,0.1,0.70244,0.06071736160275741,0.6098,0.7561,"[28, 31, 29, 25, 31]","[0.6829, 0.7561, 0.7073, 0.6098, 0.7561]"
llama-3.2-1b,5,0.1,0.41462,0.07315833513687965,0.2927,0.4878,"[20, 18, 17, 12, 18]","[0.4878, 0.439, 0.4146, 0.2927, 0.439]"
llama-3.2-3b,5,0.1,0.37562,0.02777205429924117,0.3415,0.4146,"[16, 14, 15, 17, 15]","[0.3902, 0.3415, 0.3659, 0.4146, 0.3659]"
qwen-2.5-1.5b,5,0.1,0.3415,0.0,0.3415,0.3415,"[14, 14, 14, 14, 14]","[0.3415, 0.3415, 0.3415, 0.3415, 0.3415]"
qwen-2.5-3b,5,0.1,0.3902,0.0,0.3902,0.3902,"[16, 16, 16, 16, 16]","[0.3902, 0.3902, 0.3902, 0.3902, 0.3902]"
