cell,model,metric,n,mean_delta,ci_lo,ci_hi,ci_excludes_zero
embed_clinicalbert,gpt-oss-120b,bleu,40,-0.0001,-0.0015,0.0013,False
embed_clinicalbert,gpt-oss-120b,rouge_l,40,-0.0016,-0.0046,0.0013,False
embed_clinicalbert,gpt-oss-120b,sbert_coherence,40,-0.0068,-0.0217,0.0086,False
embed_clinicalbert,gpt-oss-120b,bert_f1,40,-0.0004,-0.0014,0.0007,False
embed_clinicalbert,gpt-oss-20b,bleu,40,-0.0001,-0.0019,0.0016,False
embed_clinicalbert,gpt-oss-20b,rouge_l,40,0.0,-0.0032,0.0033,False
embed_clinicalbert,gpt-oss-20b,sbert_coherence,40,0.0115,-0.013,0.036,False
embed_clinicalbert,gpt-oss-20b,bert_f1,40,0.0017,0.0004,0.0032,True
embed_clinicalbert,medgemma-4b,bleu,39,0.0013,-0.0015,0.0044,False
embed_clinicalbert,medgemma-4b,rouge_l,39,-0.0022,-0.0139,0.0091,False
embed_clinicalbert,medgemma-4b,sbert_coherence,39,0.0038,-0.0152,0.023,False
embed_clinicalbert,medgemma-4b,bert_f1,39,0.0016,-0.0023,0.0051,False
embed_clinicalbert,qwen3-32b,bleu,40,-0.0008,-0.0024,0.001,False
embed_clinicalbert,qwen3-32b,rouge_l,40,-0.0013,-0.0043,0.0018,False
embed_clinicalbert,qwen3-32b,sbert_coherence,40,-0.0087,-0.0415,0.0229,False
embed_clinicalbert,qwen3-32b,bert_f1,40,0.0009,-0.0003,0.0021,False
embed_pubmedbert,gpt-oss-120b,bleu,40,0.0004,-0.001,0.0017,False
embed_pubmedbert,gpt-oss-120b,rouge_l,40,-0.0003,-0.0027,0.0019,False
embed_pubmedbert,gpt-oss-120b,sbert_coherence,40,0.0083,-0.0073,0.024,False
embed_pubmedbert,gpt-oss-120b,bert_f1,40,0.0015,0.0002,0.0028,True
embed_pubmedbert,gpt-oss-20b,bleu,40,-0.0009,-0.0025,0.0006,False
embed_pubmedbert,gpt-oss-20b,rouge_l,40,-0.0003,-0.0028,0.0024,False
embed_pubmedbert,gpt-oss-20b,sbert_coherence,40,0.0024,-0.023,0.0275,False
embed_pubmedbert,gpt-oss-20b,bert_f1,40,0.0004,-0.0011,0.002,False
embed_pubmedbert,medgemma-4b,bleu,39,0.0002,-0.0032,0.0036,False
embed_pubmedbert,medgemma-4b,rouge_l,39,-0.001,-0.0144,0.0148,False
embed_pubmedbert,medgemma-4b,sbert_coherence,39,-0.0035,-0.0298,0.029,False
embed_pubmedbert,medgemma-4b,bert_f1,39,0.0036,0.0,0.0077,True
embed_pubmedbert,qwen3-32b,bleu,40,-0.0011,-0.0027,0.0005,False
embed_pubmedbert,qwen3-32b,rouge_l,40,-0.0007,-0.0038,0.0024,False
embed_pubmedbert,qwen3-32b,sbert_coherence,40,0.017,-0.0219,0.0546,False
embed_pubmedbert,qwen3-32b,bert_f1,40,0.0003,-0.0012,0.0018,False
k1,gpt-oss-120b,bleu,40,-0.0001,-0.0016,0.0014,False
k1,gpt-oss-120b,rouge_l,40,-0.0007,-0.0029,0.0014,False
k1,gpt-oss-120b,sbert_coherence,40,0.0013,-0.0118,0.0146,False
k1,gpt-oss-120b,bert_f1,40,0.0005,-0.0007,0.0017,False
k1,gpt-oss-20b,bleu,40,0.0006,-0.0006,0.0018,False
k1,gpt-oss-20b,rouge_l,40,-0.0016,-0.0045,0.0014,False
k1,gpt-oss-20b,sbert_coherence,40,-0.01,-0.0335,0.0125,False
k1,gpt-oss-20b,bert_f1,40,0.0013,-0.0001,0.0026,False
k1,medgemma-4b,bleu,39,0.0005,-0.0021,0.0034,False
k1,medgemma-4b,rouge_l,39,0.0027,-0.0128,0.0193,False
k1,medgemma-4b,sbert_coherence,39,0.0064,-0.0252,0.0429,False
k1,medgemma-4b,bert_f1,39,0.0039,-0.001,0.0096,False
k1,qwen3-32b,bleu,40,-0.0007,-0.0023,0.001,False
k1,qwen3-32b,rouge_l,40,-0.0008,-0.0037,0.002,False
k1,qwen3-32b,sbert_coherence,40,-0.0047,-0.0373,0.0281,False
k1,qwen3-32b,bert_f1,40,0.0008,-0.0007,0.0022,False
k3,gpt-oss-120b,bleu,40,-0.0006,-0.002,0.0007,False
k3,gpt-oss-120b,rouge_l,40,0.0003,-0.0019,0.0024,False
k3,gpt-oss-120b,sbert_coherence,40,0.0008,-0.0155,0.0166,False
k3,gpt-oss-120b,bert_f1,40,0.0012,0.0002,0.0022,True
k3,gpt-oss-20b,bleu,40,0.0008,-0.0009,0.0024,False
k3,gpt-oss-20b,rouge_l,40,0.0016,-0.0016,0.0048,False
k3,gpt-oss-20b,sbert_coherence,40,-0.0054,-0.0251,0.0134,False
k3,gpt-oss-20b,bert_f1,40,0.002,0.0007,0.0034,True
k3,medgemma-4b,bleu,39,-0.0003,-0.0034,0.0026,False
k3,medgemma-4b,rouge_l,39,0.0042,-0.0096,0.0182,False
k3,medgemma-4b,sbert_coherence,39,-0.007,-0.0256,0.0124,False
k3,medgemma-4b,bert_f1,39,0.0016,-0.0027,0.0057,False
k3,qwen3-32b,bleu,40,0.0008,-0.0011,0.0028,False
k3,qwen3-32b,rouge_l,40,0.0,-0.0038,0.0037,False
k3,qwen3-32b,sbert_coherence,40,-0.0086,-0.0484,0.0258,False
k3,qwen3-32b,bert_f1,40,0.0012,-0.0004,0.0028,False
k5,gpt-oss-120b,bleu,40,0.0011,-0.0008,0.003,False
k5,gpt-oss-120b,rouge_l,40,-0.0012,-0.0039,0.0014,False
k5,gpt-oss-120b,sbert_coherence,40,-0.0162,-0.035,0.0011,False
k5,gpt-oss-120b,bert_f1,40,0.0005,-0.0004,0.0015,False
k5,gpt-oss-20b,bleu,40,-0.0004,-0.0022,0.0012,False
k5,gpt-oss-20b,rouge_l,40,0.0003,-0.0026,0.0033,False
k5,gpt-oss-20b,sbert_coherence,40,0.0075,-0.0135,0.0295,False
k5,gpt-oss-20b,bert_f1,40,0.0012,-0.0003,0.0026,False
k5,medgemma-4b,bleu,39,-0.0012,-0.0046,0.0024,False
k5,medgemma-4b,rouge_l,39,-0.007,-0.0212,0.008,False
k5,medgemma-4b,sbert_coherence,39,-0.0103,-0.0333,0.0103,False
k5,medgemma-4b,bert_f1,39,0.0006,-0.0033,0.0042,False
k5,qwen3-32b,bleu,40,0.0001,-0.0019,0.0021,False
k5,qwen3-32b,rouge_l,40,0.0004,-0.0023,0.0031,False
k5,qwen3-32b,sbert_coherence,40,-0.0043,-0.0331,0.024,False
k5,qwen3-32b,bert_f1,40,-0.0,-0.0015,0.0014,False
norag,gpt-oss-120b,bleu,40,0.0006,-0.0009,0.0022,False
norag,gpt-oss-120b,rouge_l,40,-0.0005,-0.0029,0.002,False
norag,gpt-oss-120b,sbert_coherence,40,-0.0006,-0.0177,0.0155,False
norag,gpt-oss-120b,bert_f1,40,0.0042,0.0028,0.0056,True
norag,gpt-oss-20b,bleu,40,-0.0001,-0.0018,0.0016,False
norag,gpt-oss-20b,rouge_l,40,0.0015,-0.0016,0.0045,False
norag,gpt-oss-20b,sbert_coherence,40,0.0158,-0.008,0.0382,False
norag,gpt-oss-20b,bert_f1,40,0.0008,-0.0011,0.0025,False
norag,medgemma-4b,bleu,39,-0.0019,-0.0052,0.0016,False
norag,medgemma-4b,rouge_l,39,0.009,-0.0082,0.0267,False
norag,medgemma-4b,sbert_coherence,39,0.0113,-0.0094,0.0315,False
norag,medgemma-4b,bert_f1,39,0.0067,0.003,0.0103,True
norag,qwen3-32b,bleu,40,-0.0007,-0.0023,0.001,False
norag,qwen3-32b,rouge_l,40,0.0013,-0.0027,0.0053,False
norag,qwen3-32b,sbert_coherence,40,0.0152,-0.0124,0.0424,False
norag,qwen3-32b,bert_f1,40,0.0011,-0.0005,0.0027,False
prompt_hallucination_guarded,gpt-oss-120b,bleu,40,0.0021,0.0007,0.0034,True
prompt_hallucination_guarded,gpt-oss-120b,rouge_l,40,-0.0148,-0.0186,-0.0111,True
prompt_hallucination_guarded,gpt-oss-120b,sbert_coherence,40,-0.0049,-0.0193,0.0111,False
prompt_hallucination_guarded,gpt-oss-120b,bert_f1,40,-0.0014,-0.0026,-0.0002,True
prompt_hallucination_guarded,gpt-oss-20b,bleu,40,0.0029,0.0012,0.0046,True
prompt_hallucination_guarded,gpt-oss-20b,rouge_l,40,-0.0095,-0.0147,-0.0044,True
prompt_hallucination_guarded,gpt-oss-20b,sbert_coherence,40,-0.0348,-0.0583,-0.0118,True
prompt_hallucination_guarded,gpt-oss-20b,bert_f1,40,-0.0006,-0.0025,0.0013,False
prompt_minimal,gpt-oss-120b,bleu,40,0.0031,0.0012,0.0049,True
prompt_minimal,gpt-oss-120b,rouge_l,40,0.0166,0.0136,0.0194,True
prompt_minimal,gpt-oss-120b,sbert_coherence,40,-0.0665,-0.0858,-0.0472,True
prompt_minimal,gpt-oss-120b,bert_f1,40,0.0137,0.0121,0.0155,True
prompt_minimal,gpt-oss-20b,bleu,40,0.0024,0.0005,0.0044,True
prompt_minimal,gpt-oss-20b,rouge_l,40,0.0161,0.0132,0.0192,True
prompt_minimal,gpt-oss-20b,sbert_coherence,40,-0.0298,-0.0556,-0.005,True
prompt_minimal,gpt-oss-20b,bert_f1,40,0.0113,0.0093,0.0133,True
temp_0.1,gpt-oss-120b,bleu,40,0.0005,-0.0006,0.0016,False
temp_0.1,gpt-oss-120b,rouge_l,40,-0.0021,-0.0046,0.0003,False
temp_0.1,gpt-oss-120b,sbert_coherence,40,0.0133,-0.0016,0.0284,False
temp_0.1,gpt-oss-120b,bert_f1,40,0.0015,0.0004,0.0028,True
temp_0.1,gpt-oss-20b,bleu,40,-0.0002,-0.0017,0.0013,False
temp_0.1,gpt-oss-20b,rouge_l,40,-0.0027,-0.0055,-0.0001,True
temp_0.1,gpt-oss-20b,sbert_coherence,40,0.0085,-0.0124,0.0297,False
temp_0.1,gpt-oss-20b,bert_f1,40,0.0008,-0.0007,0.0022,False
temp_0.5,gpt-oss-120b,bleu,40,-0.0005,-0.002,0.0009,False
temp_0.5,gpt-oss-120b,rouge_l,40,-0.002,-0.0048,0.0007,False
temp_0.5,gpt-oss-120b,sbert_coherence,40,0.0059,-0.0082,0.0191,False
temp_0.5,gpt-oss-120b,bert_f1,40,-0.0003,-0.0014,0.0006,False
temp_0.5,gpt-oss-20b,bleu,40,-0.0007,-0.0024,0.001,False
temp_0.5,gpt-oss-20b,rouge_l,40,-0.0035,-0.0065,-0.0002,True
temp_0.5,gpt-oss-20b,sbert_coherence,40,-0.0121,-0.0374,0.0122,False
temp_0.5,gpt-oss-20b,bert_f1,40,0.0008,-0.0008,0.0025,False
temp_0.7,gpt-oss-120b,bleu,40,0.0015,0.0001,0.0028,True
temp_0.7,gpt-oss-120b,rouge_l,40,-0.0008,-0.0037,0.0022,False
temp_0.7,gpt-oss-120b,sbert_coherence,40,0.0065,-0.0126,0.0287,False
temp_0.7,gpt-oss-120b,bert_f1,40,0.0012,-0.0001,0.0026,False
temp_0.7,gpt-oss-20b,bleu,40,-0.0001,-0.0015,0.0013,False
temp_0.7,gpt-oss-20b,rouge_l,40,-0.0002,-0.003,0.0027,False
temp_0.7,gpt-oss-20b,sbert_coherence,40,0.0133,-0.0092,0.0359,False
temp_0.7,gpt-oss-20b,bert_f1,40,0.0014,0.0001,0.0026,True
