cell,model,delta_bleu,delta_rouge_l,delta_sbert_coherence,delta_bert_f1
embed_clinicalbert,gpt-oss-120b,-0.0001,-0.0016,-0.0068,-0.0004
embed_clinicalbert,gpt-oss-20b,-0.0002,0.0,0.0115,0.0017
embed_clinicalbert,medgemma-4b,0.0013,-0.0023,0.0037,0.0016
embed_clinicalbert,qwen3-32b,-0.0008,-0.0013,-0.0087,0.0009
embed_pubmedbert,gpt-oss-120b,0.0004,-0.0004,0.0083,0.0015
embed_pubmedbert,gpt-oss-20b,-0.001,-0.0003,0.0024,0.0004
embed_pubmedbert,medgemma-4b,0.0002,-0.0011,-0.0036,0.0037
embed_pubmedbert,qwen3-32b,-0.0011,-0.0008,0.0169,0.0003
k1,gpt-oss-120b,0.0,-0.0007,0.0012,0.0005
k1,gpt-oss-20b,0.0005,-0.0017,-0.01,0.0012
k1,medgemma-4b,0.0005,0.0026,0.0064,0.004
k1,qwen3-32b,-0.0007,-0.0009,-0.0047,0.0007
k3,gpt-oss-120b,-0.0006,0.0003,0.0007,0.0012
k3,gpt-oss-20b,0.0007,0.0016,-0.0054,0.0019
k3,medgemma-4b,-0.0003,0.0042,-0.0071,0.0017
k3,qwen3-32b,0.0008,0.0,-0.0086,0.0012
k5,gpt-oss-120b,0.0012,-0.0013,-0.0162,0.0005
k5,gpt-oss-20b,-0.0005,0.0003,0.0075,0.0011
k5,medgemma-4b,-0.0012,-0.007,-0.0103,0.0007
k5,qwen3-32b,0.0001,0.0003,-0.0044,-0.0001
norag,gpt-oss-120b,0.0007,-0.0005,-0.0007,0.0042
norag,gpt-oss-20b,-0.0001,0.0015,0.0158,0.0008
norag,medgemma-4b,-0.0019,0.0089,0.0112,0.0067
norag,qwen3-32b,-0.0007,0.0012,0.0152,0.0011
prompt_hallucination_guarded,gpt-oss-120b,0.0021,-0.0149,-0.0049,-0.0014
prompt_hallucination_guarded,gpt-oss-20b,0.0029,-0.0095,-0.0348,-0.0006
prompt_minimal,gpt-oss-120b,0.0032,0.0165,-0.0666,0.0137
prompt_minimal,gpt-oss-20b,0.0024,0.0161,-0.0298,0.0113
temp_0.1,gpt-oss-120b,0.0005,-0.0021,0.0132,0.0015
temp_0.1,gpt-oss-20b,-0.0003,-0.0027,0.0085,0.0008
temp_0.5,gpt-oss-120b,-0.0005,-0.002,0.0059,-0.0004
temp_0.5,gpt-oss-20b,-0.0007,-0.0035,-0.0121,0.0008
temp_0.7,gpt-oss-120b,0.0015,-0.0008,0.0064,0.0012
temp_0.7,gpt-oss-20b,-0.0001,-0.0002,0.0133,0.0014
