cell,model,bleu,rouge_l,sbert_coherence,bert_f1
embed_clinicalbert,gpt-oss-120b,0.0115,0.1163,0.5179,0.8005
embed_clinicalbert,gpt-oss-20b,0.0093,0.1181,0.5178,0.7984
embed_clinicalbert,medgemma-4b,0.0096,0.1469,0.5025,0.801
embed_clinicalbert,qwen3-32b,0.0161,0.1305,0.4995,0.8021
embed_pubmedbert,gpt-oss-120b,0.011,0.1151,0.5028,0.7986
embed_pubmedbert,gpt-oss-20b,0.0101,0.1184,0.5269,0.7997
embed_pubmedbert,medgemma-4b,0.0107,0.1457,0.5098,0.7989
embed_pubmedbert,qwen3-32b,0.0164,0.13,0.4739,0.8027
k1,gpt-oss-120b,0.0114,0.1154,0.5099,0.7996
k1,gpt-oss-20b,0.0086,0.1198,0.5393,0.7989
k1,medgemma-4b,0.0104,0.142,0.4998,0.7986
k1,qwen3-32b,0.016,0.1301,0.4955,0.8023
k3,gpt-oss-120b,0.012,0.1144,0.5104,0.7989
k3,gpt-oss-20b,0.0084,0.1165,0.5347,0.7982
k3,medgemma-4b,0.0112,0.1404,0.5133,0.8009
k3,qwen3-32b,0.0145,0.1292,0.4994,0.8018
k5,gpt-oss-120b,0.0102,0.116,0.5273,0.7996
k5,gpt-oss-20b,0.0096,0.1178,0.5218,0.799
k5,medgemma-4b,0.0121,0.1516,0.5165,0.8019
k5,qwen3-32b,0.0152,0.1289,0.4952,0.8031
norag,gpt-oss-120b,0.0107,0.1152,0.5118,0.7959
norag,gpt-oss-20b,0.0092,0.1166,0.5135,0.7993
norag,medgemma-4b,0.0128,0.1357,0.495,0.7959
norag,qwen3-32b,0.016,0.128,0.4756,0.8019
production,gpt-oss-120b,0.0114,0.1147,0.5111,0.8001
production,gpt-oss-20b,0.0091,0.1181,0.5293,0.8001
production,medgemma-4b,0.0109,0.1446,0.5062,0.8026
production,qwen3-32b,0.0153,0.1292,0.4908,0.803
prompt_hallucination_guarded,gpt-oss-120b,0.0093,0.1296,0.516,0.8015
prompt_hallucination_guarded,gpt-oss-20b,0.0062,0.1276,0.5641,0.8007
prompt_minimal,gpt-oss-120b,0.0082,0.0982,0.5777,0.7864
prompt_minimal,gpt-oss-20b,0.0067,0.102,0.5591,0.7888
temp_0.1,gpt-oss-120b,0.0109,0.1168,0.4979,0.7986
temp_0.1,gpt-oss-20b,0.0094,0.1208,0.5208,0.7993
temp_0.5,gpt-oss-120b,0.0119,0.1167,0.5052,0.8005
temp_0.5,gpt-oss-20b,0.0098,0.1216,0.5414,0.7993
temp_0.7,gpt-oss-120b,0.0099,0.1155,0.5047,0.7989
temp_0.7,gpt-oss-20b,0.0092,0.1183,0.516,0.7987
