cell,model,metric,n,wilcoxon_stat,p,mean_diff
embed_clinicalbert,gpt-oss-120b,bleu,40,396.0,0.8576,-0.0001
embed_clinicalbert,gpt-oss-120b,rouge_l,40,355.0,0.4680,-0.0016
embed_clinicalbert,gpt-oss-120b,sbert_coherence,40,325.0,0.2591,-0.0068
embed_clinicalbert,gpt-oss-120b,bert_f1,40,378.0,0.6753,-0.0004
embed_clinicalbert,gpt-oss-20b,bleu,40,391.0,0.8057,-0.0001
embed_clinicalbert,gpt-oss-20b,rouge_l,40,404.0,0.9417,0.0
embed_clinicalbert,gpt-oss-20b,sbert_coherence,40,344.0,0.3826,0.0115
embed_clinicalbert,gpt-oss-20b,bert_f1,40,257.0,0.0394,0.0017
embed_clinicalbert,medgemma-4b,bleu,39,355.0,0.6338,0.0013
embed_clinicalbert,medgemma-4b,rouge_l,39,368.0,0.7667,-0.0022
embed_clinicalbert,medgemma-4b,sbert_coherence,39,374.0,0.8307,0.0038
embed_clinicalbert,medgemma-4b,bert_f1,39,280.0,0.1275,0.0016
embed_clinicalbert,qwen3-32b,bleu,40,342.0,0.3682,-0.0008
embed_clinicalbert,qwen3-32b,rouge_l,40,351.0,0.4358,-0.0013
embed_clinicalbert,qwen3-32b,sbert_coherence,40,401.0,0.9100,-0.0087
embed_clinicalbert,qwen3-32b,bert_f1,40,302.0,0.1499,0.0009
embed_pubmedbert,gpt-oss-120b,bleu,40,386.0,0.7547,0.0004
embed_pubmedbert,gpt-oss-120b,rouge_l,40,407.0,0.9735,-0.0003
embed_pubmedbert,gpt-oss-120b,sbert_coherence,40,351.0,0.4358,0.0083
embed_pubmedbert,gpt-oss-120b,bert_f1,40,266.0,0.0531,0.0015
embed_pubmedbert,gpt-oss-20b,bleu,40,317.0,0.2163,-0.0009
embed_pubmedbert,gpt-oss-20b,rouge_l,40,366.0,0.5627,-0.0003
embed_pubmedbert,gpt-oss-20b,sbert_coherence,40,401.0,0.9100,0.0024
embed_pubmedbert,gpt-oss-20b,bert_f1,40,391.0,0.8057,0.0004
embed_pubmedbert,medgemma-4b,bleu,39,385.0,0.9505,0.0002
embed_pubmedbert,medgemma-4b,rouge_l,39,328.0,0.3949,-0.001
embed_pubmedbert,medgemma-4b,sbert_coherence,39,292.0,0.1756,-0.0035
embed_pubmedbert,medgemma-4b,bert_f1,39,273.0,0.1045,0.0036
embed_pubmedbert,qwen3-32b,bleu,40,299.0,0.1387,-0.0011
embed_pubmedbert,qwen3-32b,rouge_l,40,366.0,0.5627,-0.0007
embed_pubmedbert,qwen3-32b,sbert_coherence,40,378.0,0.6753,0.017
embed_pubmedbert,qwen3-32b,bert_f1,40,354.0,0.4598,0.0003
k1,gpt-oss-120b,bleu,40,402.0,0.9206,-0.0001
k1,gpt-oss-120b,rouge_l,40,378.0,0.6753,-0.0007
k1,gpt-oss-120b,sbert_coherence,40,399.0,0.8890,0.0013
k1,gpt-oss-120b,bert_f1,40,346.0,0.3974,0.0005
k1,gpt-oss-20b,bleu,40,361.0,0.5185,0.0006
k1,gpt-oss-20b,rouge_l,40,318.0,0.2214,-0.0016
k1,gpt-oss-20b,sbert_coherence,40,358.0,0.4929,-0.01
k1,gpt-oss-20b,bert_f1,40,270.0,0.0603,0.0013
k1,medgemma-4b,bleu,39,386.0,0.9615,0.0005
k1,medgemma-4b,rouge_l,39,354.0,0.6240,0.0027
k1,medgemma-4b,sbert_coherence,39,340.0,0.4939,0.0064
k1,medgemma-4b,bert_f1,39,294.0,0.1847,0.0039
k1,qwen3-32b,bleu,40,312.0,0.1922,-0.0007
k1,qwen3-32b,rouge_l,40,339.0,0.3472,-0.0008
k1,qwen3-32b,sbert_coherence,40,396.0,0.8576,-0.0047
k1,qwen3-32b,bert_f1,40,328.0,0.2766,0.0008
k3,gpt-oss-120b,bleu,40,359.0,0.5014,-0.0006
k3,gpt-oss-120b,rouge_l,40,350.0,0.4280,0.0003
k3,gpt-oss-120b,sbert_coherence,40,401.0,0.9100,0.0008
k3,gpt-oss-120b,bert_f1,40,254.0,0.0356,0.0012
k3,gpt-oss-20b,bleu,40,335.0,0.3203,0.0008
k3,gpt-oss-20b,rouge_l,40,317.0,0.2163,0.0016
k3,gpt-oss-20b,sbert_coherence,40,375.0,0.6463,-0.0054
k3,gpt-oss-20b,bert_f1,40,224.0,0.0115,0.002
k3,medgemma-4b,bleu,39,363.0,0.7145,-0.0003
k3,medgemma-4b,rouge_l,39,342.0,0.5116,0.0042
k3,medgemma-4b,sbert_coherence,39,328.0,0.3949,-0.007
k3,medgemma-4b,bert_f1,39,288.0,0.1583,0.0016
k3,qwen3-32b,bleu,40,355.0,0.4680,0.0008
k3,qwen3-32b,rouge_l,40,403.0,0.9312,0.0
k3,qwen3-32b,sbert_coherence,40,398.0,0.8785,-0.0086
k3,qwen3-32b,bert_f1,40,309.0,0.1787,0.0012
k5,gpt-oss-120b,bleu,40,343.0,0.3754,0.0011
k5,gpt-oss-120b,rouge_l,40,348.0,0.4125,-0.0012
k5,gpt-oss-120b,sbert_coherence,40,301.0,0.1461,-0.0162
k5,gpt-oss-120b,bert_f1,40,352.0,0.4437,0.0005
k5,gpt-oss-20b,bleu,40,359.0,0.5014,-0.0004
k5,gpt-oss-20b,rouge_l,40,387.0,0.7648,0.0003
k5,gpt-oss-20b,sbert_coherence,40,404.0,0.9417,0.0075
k5,gpt-oss-20b,bert_f1,40,307.0,0.1701,0.0012
k5,medgemma-4b,bleu,39,277.0,0.1172,-0.0012
k5,medgemma-4b,rouge_l,39,308.0,0.2586,-0.007
k5,medgemma-4b,sbert_coherence,39,336.0,0.4596,-0.0103
k5,medgemma-4b,bert_f1,39,317.0,0.3154,0.0006
k5,qwen3-32b,bleu,40,357.0,0.4845,0.0001
k5,qwen3-32b,rouge_l,40,406.0,0.9629,0.0004
k5,qwen3-32b,sbert_coherence,40,375.0,0.6463,-0.0043
k5,qwen3-32b,bert_f1,40,407.0,0.9735,-0.0
norag,gpt-oss-120b,bleu,40,348.0,0.4125,0.0006
norag,gpt-oss-120b,rouge_l,40,389.0,0.7852,-0.0005
norag,gpt-oss-120b,sbert_coherence,40,403.0,0.9312,-0.0006
norag,gpt-oss-120b,bert_f1,40,78.0,0.0000,0.0042
norag,gpt-oss-20b,bleu,40,399.0,0.8890,-0.0001
norag,gpt-oss-20b,rouge_l,40,350.0,0.4280,0.0015
norag,gpt-oss-20b,sbert_coherence,40,312.0,0.1922,0.0158
norag,gpt-oss-20b,bert_f1,40,294.0,0.1214,0.0008
norag,medgemma-4b,bleu,39,273.0,0.1045,-0.0019
norag,medgemma-4b,rouge_l,39,337.0,0.4680,0.009
norag,medgemma-4b,sbert_coherence,39,308.0,0.2586,0.0113
norag,medgemma-4b,bert_f1,39,125.0,0.0001,0.0067
norag,qwen3-32b,bleu,40,345.0,0.3900,-0.0007
norag,qwen3-32b,rouge_l,40,341.0,0.3611,0.0013
norag,qwen3-32b,sbert_coherence,40,341.0,0.3611,0.0152
norag,qwen3-32b,bert_f1,40,303.0,0.1538,0.0011
prompt_hallucination_guarded,gpt-oss-120b,bleu,40,190.0,0.0025,0.0021
prompt_hallucination_guarded,gpt-oss-120b,rouge_l,40,36.0,0.0000,-0.0148
prompt_hallucination_guarded,gpt-oss-120b,sbert_coherence,40,335.0,0.3203,-0.0049
prompt_hallucination_guarded,gpt-oss-120b,bert_f1,40,244.0,0.0250,-0.0014
prompt_hallucination_guarded,gpt-oss-20b,bleu,40,167.0,0.0008,0.0029
prompt_hallucination_guarded,gpt-oss-20b,rouge_l,40,163.0,0.0006,-0.0095
prompt_hallucination_guarded,gpt-oss-20b,sbert_coherence,40,211.0,0.0067,-0.0348
prompt_hallucination_guarded,gpt-oss-20b,bert_f1,40,362.0,0.5272,-0.0006
prompt_minimal,gpt-oss-120b,bleu,40,191.0,0.0026,0.0031
prompt_minimal,gpt-oss-120b,rouge_l,40,12.0,0.0000,0.0166
prompt_minimal,gpt-oss-120b,sbert_coherence,40,63.0,0.0000,-0.0665
prompt_minimal,gpt-oss-120b,bert_f1,40,0.0,0.0000,0.0137
prompt_minimal,gpt-oss-20b,bleu,40,195.0,0.0032,0.0024
prompt_minimal,gpt-oss-20b,rouge_l,40,5.0,0.0000,0.0161
prompt_minimal,gpt-oss-20b,sbert_coherence,40,252.0,0.0332,-0.0298
prompt_minimal,gpt-oss-20b,bert_f1,40,9.0,0.0000,0.0113
temp_0.1,gpt-oss-120b,bleu,40,352.0,0.4437,0.0005
temp_0.1,gpt-oss-120b,rouge_l,40,297.0,0.1316,-0.0021
temp_0.1,gpt-oss-120b,sbert_coherence,40,309.0,0.1787,0.0133
temp_0.1,gpt-oss-120b,bert_f1,40,238.0,0.0200,0.0015
temp_0.1,gpt-oss-20b,bleu,40,406.0,0.9629,-0.0002
temp_0.1,gpt-oss-20b,rouge_l,40,291.0,0.1119,-0.0027
temp_0.1,gpt-oss-20b,sbert_coherence,40,343.0,0.3754,0.0085
temp_0.1,gpt-oss-20b,bert_f1,40,327.0,0.2707,0.0008
temp_0.5,gpt-oss-120b,bleu,40,335.0,0.3203,-0.0005
temp_0.5,gpt-oss-120b,rouge_l,40,325.0,0.2591,-0.002
temp_0.5,gpt-oss-120b,sbert_coherence,40,335.0,0.3203,0.0059
temp_0.5,gpt-oss-120b,bert_f1,40,364.0,0.5448,-0.0003
temp_0.5,gpt-oss-20b,bleu,40,332.0,0.3011,-0.0007
temp_0.5,gpt-oss-20b,rouge_l,40,229.0,0.0141,-0.0035
temp_0.5,gpt-oss-20b,sbert_coherence,40,340.0,0.3541,-0.0121
temp_0.5,gpt-oss-20b,bert_f1,40,356.0,0.4762,0.0008
temp_0.7,gpt-oss-120b,bleu,40,259.0,0.0422,0.0015
temp_0.7,gpt-oss-120b,rouge_l,40,379.0,0.6850,-0.0008
temp_0.7,gpt-oss-120b,sbert_coherence,40,408.0,0.9841,0.0065
temp_0.7,gpt-oss-120b,bert_f1,40,308.0,0.1744,0.0012
temp_0.7,gpt-oss-20b,bleu,40,406.0,0.9629,-0.0001
temp_0.7,gpt-oss-20b,rouge_l,40,381.0,0.7047,-0.0002
temp_0.7,gpt-oss-20b,sbert_coherence,40,332.0,0.3011,0.0133
temp_0.7,gpt-oss-20b,bert_f1,40,248.0,0.0288,0.0014
